"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Sun Apr 26 06:08:24 UTC 2026","broken","Sun Apr 26 06:08:24 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sun Apr 26 06:08:24 UTC 2026","broken","Sun Apr 26 06:08:24 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","0","afterMethodCleanUp","Test Smoke suites","Sun Apr 26 06:08:25 UTC 2026","broken","Sun Apr 26 06:08:25 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"","0","afterMethodCleanUp","Test Smoke suites","Sun Apr 26 06:08:24 UTC 2026","broken","Sun Apr 26 06:08:24 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"","1","prepareData","Test Smoke suites","Sun Apr 26 06:08:24 UTC 2026","broken","Sun Apr 26 06:08:24 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"","0","prepareData","Test Smoke suites","Sun Apr 26 06:08:23 UTC 2026","broken","Sun Apr 26 06:08:23 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","0","setUpClass","Test Smoke suites","Sun Apr 26 06:08:24 UTC 2026","broken","Sun Apr 26 06:08:24 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"","0","afterMethodCleanUp","Test Smoke suites","Sun Apr 26 06:08:24 UTC 2026","broken","Sun Apr 26 06:08:24 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
"","0","afterMethodCleanUp","Test Smoke suites","Sun Apr 26 06:08:25 UTC 2026","broken","Sun Apr 26 06:08:25 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sun Apr 26 06:08:25 UTC 2026","broken","Sun Apr 26 06:08:25 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"","2","globalInitSuite","Test Smoke suites","Sun Apr 26 06:08:22 UTC 2026","broken","Sun Apr 26 06:08:22 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"","0","prepareData","Test Smoke suites","Sun Apr 26 06:08:23 UTC 2026","broken","Sun Apr 26 06:08:23 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","prepareData"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Sun Apr 26 06:08:23 UTC 2026","broken","Sun Apr 26 06:08:23 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"Check that Admin is not able to authenticate with wrong password.","0","userFailedPasswordAuthResponseValidation","Test Smoke suites","Sun Apr 26 06:08:24 UTC 2026","skipped","Sun Apr 26 06:08:24 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"","0","prepareData","Test Smoke suites","Sun Apr 26 06:08:24 UTC 2026","broken","Sun Apr 26 06:08:24 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"Search booking by id api.","0","searchBookingResponseValidation","Test Smoke suites","Sun Apr 26 06:08:25 UTC 2026","skipped","Sun Apr 26 06:08:25 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
