"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","prepareData","Test Smoke suites","Sun May 03 06:27:35 UTC 2026","broken","Sun May 03 06:27:35 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"Check that Admin is not able to authenticate with wrong password.","3","userFailedPasswordAuthResponseValidation","Test Smoke suites","Sun May 03 06:27:35 UTC 2026","skipped","Sun May 03 06:27:35 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"","0","prepareData","Test Smoke suites","Sun May 03 06:27:35 UTC 2026","broken","Sun May 03 06:27:35 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"","0","afterMethodCleanUp","Test Smoke suites","Sun May 03 06:27:36 UTC 2026","broken","Sun May 03 06:27:36 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
"Create new valid booking with api.","0","createNewBookingResponseValidation","Test Smoke suites","Sun May 03 06:27:36 UTC 2026","skipped","Sun May 03 06:27:36 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"Update booking with valid date api.","0","fullUpdateBookingResponseValidation","Test Smoke suites","Sun May 03 06:27:36 UTC 2026","skipped","Sun May 03 06:27:36 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Check that Admin is able to authenticate.","0","userAuthResponseValidation","Test Smoke suites","Sun May 03 06:27:35 UTC 2026","skipped","Sun May 03 06:27:35 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"","0","afterMethodCleanUp","Test Smoke suites","Sun May 03 06:27:36 UTC 2026","broken","Sun May 03 06:27:36 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sun May 03 06:27:35 UTC 2026","broken","Sun May 03 06:27:35 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"","0","afterMethodCleanUp","Test Smoke suites","Sun May 03 06:27:35 UTC 2026","broken","Sun May 03 06:27:35 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"","1","setUpClass","Test Smoke suites","Sun May 03 06:27:36 UTC 2026","broken","Sun May 03 06:27:36 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"","0","prepareData","Test Smoke suites","Sun May 03 06:27:35 UTC 2026","broken","Sun May 03 06:27:35 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","0","afterMethodCleanUp","Test Smoke suites","Sun May 03 06:27:36 UTC 2026","broken","Sun May 03 06:27:36 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"","0","prepareData","Test Smoke suites","Sun May 03 06:27:34 UTC 2026","broken","Sun May 03 06:27:34 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","prepareData"
