"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","afterMethodCleanUp","Test Smoke suites","Tue Mar 03 05:15:17 UTC 2026","broken","Tue Mar 03 05:15:17 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"","3","globalInitSuite","Test Smoke suites","Tue Mar 03 05:15:14 UTC 2026","broken","Tue Mar 03 05:15:14 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Tue Mar 03 05:15:15 UTC 2026","broken","Tue Mar 03 05:15:15 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"","0","prepareData","Test Smoke suites","Tue Mar 03 05:15:16 UTC 2026","broken","Tue Mar 03 05:15:16 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"Create new valid booking with api.","1","createNewBookingResponseValidation","Test Smoke suites","Tue Mar 03 05:15:16 UTC 2026","skipped","Tue Mar 03 05:15:16 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"","0","setUpClass","Test Smoke suites","Tue Mar 03 05:15:17 UTC 2026","broken","Tue Mar 03 05:15:17 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Tue Mar 03 05:15:16 UTC 2026","broken","Tue Mar 03 05:15:16 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"","0","globalCleanupSuite","Test Smoke suites","Tue Mar 03 05:15:17 UTC 2026","broken","Tue Mar 03 05:15:17 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
"Partially update booking with valid date api.","0","partialUpdateBookingResponseValidation","Test Smoke suites","Tue Mar 03 05:15:17 UTC 2026","skipped","Tue Mar 03 05:15:17 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"","0","prepareData","Test Smoke suites","Tue Mar 03 05:15:15 UTC 2026","broken","Tue Mar 03 05:15:15 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","prepareData"
