"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Mon Apr 27 06:28:53 UTC 2026","broken","Mon Apr 27 06:28:53 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
"Update booking with valid date api.","0","fullUpdateBookingResponseValidation","Test Smoke suites","Mon Apr 27 06:28:54 UTC 2026","skipped","Mon Apr 27 06:28:54 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Search booking by id api.","7","searchBookingResponseValidation","Test Smoke suites","Mon Apr 27 06:28:54 UTC 2026","skipped","Mon Apr 27 06:28:54 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"","0","prepareData","Test Smoke suites","Mon Apr 27 06:28:52 UTC 2026","broken","Mon Apr 27 06:28:52 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"","0","afterMethodCleanUp","Test Smoke suites","Mon Apr 27 06:28:54 UTC 2026","broken","Mon Apr 27 06:28:54 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"Create new valid booking with api.","0","createNewBookingResponseValidation","Test Smoke suites","Mon Apr 27 06:28:54 UTC 2026","skipped","Mon Apr 27 06:28:54 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"Partially update booking with valid date api.","4","partialUpdateBookingResponseValidation","Test Smoke suites","Mon Apr 27 06:28:54 UTC 2026","skipped","Mon Apr 27 06:28:54 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"","0","prepareData","Test Smoke suites","Mon Apr 27 06:28:54 UTC 2026","broken","Mon Apr 27 06:28:54 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","0","afterMethodCleanUp","Test Smoke suites","Mon Apr 27 06:28:54 UTC 2026","broken","Mon Apr 27 06:28:54 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"","0","prepareData","Test Smoke suites","Mon Apr 27 06:28:54 UTC 2026","broken","Mon Apr 27 06:28:54 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Mon Apr 27 06:28:54 UTC 2026","broken","Mon Apr 27 06:28:54 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Mon Apr 27 06:28:53 UTC 2026","broken","Mon Apr 27 06:28:53 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","0","setUpClass","Test Smoke suites","Mon Apr 27 06:28:53 UTC 2026","broken","Mon Apr 27 06:28:53 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"","0","prepareData","Test Smoke suites","Mon Apr 27 06:28:53 UTC 2026","broken","Mon Apr 27 06:28:53 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
