"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that Admin is not able to authenticate with wrong password.","0","userFailedPasswordAuthResponseValidation","Test Smoke suites","Tue Apr 21 06:03:47 UTC 2026","skipped","Tue Apr 21 06:03:47 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"","0","prepareData","Test Smoke suites","Tue Apr 21 06:03:45 UTC 2026","broken","Tue Apr 21 06:03:45 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"","0","globalCleanupSuite","Test Smoke suites","Tue Apr 21 06:03:47 UTC 2026","broken","Tue Apr 21 06:03:47 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
"","2","globalInitSuite","Test Smoke suites","Tue Apr 21 06:03:44 UTC 2026","broken","Tue Apr 21 06:03:44 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"","0","prepareData","Test Smoke suites","Tue Apr 21 06:03:46 UTC 2026","broken","Tue Apr 21 06:03:46 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Tue Apr 21 06:03:47 UTC 2026","broken","Tue Apr 21 06:03:47 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Tue Apr 21 06:03:46 UTC 2026","broken","Tue Apr 21 06:03:46 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","0","afterMethodCleanUp","Test Smoke suites","Tue Apr 21 06:03:47 UTC 2026","broken","Tue Apr 21 06:03:47 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
"","0","afterMethodCleanUp","Test Smoke suites","Tue Apr 21 06:03:46 UTC 2026","broken","Tue Apr 21 06:03:46 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
"","0","prepareData","Test Smoke suites","Tue Apr 21 06:03:46 UTC 2026","broken","Tue Apr 21 06:03:46 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"Search booking by id api.","4","searchBookingResponseValidation","Test Smoke suites","Tue Apr 21 06:03:46 UTC 2026","skipped","Tue Apr 21 06:03:46 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"Update booking with valid date api.","0","fullUpdateBookingResponseValidation","Test Smoke suites","Tue Apr 21 06:03:47 UTC 2026","skipped","Tue Apr 21 06:03:47 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Create new valid booking with api.","0","createNewBookingResponseValidation","Test Smoke suites","Tue Apr 21 06:03:46 UTC 2026","skipped","Tue Apr 21 06:03:46 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"","0","prepareData","Test Smoke suites","Tue Apr 21 06:03:44 UTC 2026","broken","Tue Apr 21 06:03:44 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","prepareData"
"Partially update booking with valid date api.","0","partialUpdateBookingResponseValidation","Test Smoke suites","Tue Apr 21 06:03:47 UTC 2026","skipped","Tue Apr 21 06:03:47 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"","0","afterMethodCleanUp","Test Smoke suites","Tue Apr 21 06:03:47 UTC 2026","broken","Tue Apr 21 06:03:47 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"","0","prepareData","Test Smoke suites","Tue Apr 21 06:03:47 UTC 2026","broken","Tue Apr 21 06:03:47 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","1","afterMethodCleanUp","Test Smoke suites","Tue Apr 21 06:03:46 UTC 2026","broken","Tue Apr 21 06:03:46 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Tue Apr 21 06:03:46 UTC 2026","broken","Tue Apr 21 06:03:46 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Tue Apr 21 06:03:45 UTC 2026","broken","Tue Apr 21 06:03:45 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Tue Apr 21 06:03:45 UTC 2026","broken","Tue Apr 21 06:03:45 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
