"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Fri Apr 24 06:09:45 UTC 2026","broken","Fri Apr 24 06:09:45 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"","0","globalCleanupSuite","Test Smoke suites","Fri Apr 24 06:09:45 UTC 2026","broken","Fri Apr 24 06:09:45 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Fri Apr 24 06:09:44 UTC 2026","broken","Fri Apr 24 06:09:44 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"Search booking by id api.","0","searchBookingResponseValidation","Test Smoke suites","Fri Apr 24 06:09:45 UTC 2026","skipped","Fri Apr 24 06:09:45 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"","0","prepareData","Test Smoke suites","Fri Apr 24 06:09:44 UTC 2026","broken","Fri Apr 24 06:09:44 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"Update booking with valid date api.","1","fullUpdateBookingResponseValidation","Test Smoke suites","Fri Apr 24 06:09:45 UTC 2026","skipped","Fri Apr 24 06:09:45 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Fri Apr 24 06:09:45 UTC 2026","broken","Fri Apr 24 06:09:45 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","0","afterMethodCleanUp","Test Smoke suites","Fri Apr 24 06:09:45 UTC 2026","broken","Fri Apr 24 06:09:45 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Fri Apr 24 06:09:43 UTC 2026","broken","Fri Apr 24 06:09:43 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Fri Apr 24 06:09:44 UTC 2026","broken","Fri Apr 24 06:09:44 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"","0","prepareData","Test Smoke suites","Fri Apr 24 06:09:45 UTC 2026","broken","Fri Apr 24 06:09:45 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"Create new valid booking with api.","0","createNewBookingResponseValidation","Test Smoke suites","Fri Apr 24 06:09:45 UTC 2026","skipped","Fri Apr 24 06:09:45 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
