"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","prepareData","Test Smoke suites","Wed May 27 08:05:51 UTC 2026","broken","Wed May 27 08:05:51 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Wed May 27 08:05:51 UTC 2026","broken","Wed May 27 08:05:51 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","0","afterMethodCleanUp","Test Smoke suites","Wed May 27 08:05:51 UTC 2026","broken","Wed May 27 08:05:51 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"","0","prepareData","Test Smoke suites","Wed May 27 08:05:51 UTC 2026","broken","Wed May 27 08:05:51 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Wed May 27 08:05:50 UTC 2026","broken","Wed May 27 08:05:50 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
"","0","prepareData","Test Smoke suites","Wed May 27 08:05:50 UTC 2026","broken","Wed May 27 08:05:50 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"Check that Admin is not able to authenticate with wrong password.","0","userFailedPasswordAuthResponseValidation","Test Smoke suites","Wed May 27 08:05:50 UTC 2026","skipped","Wed May 27 08:05:50 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"Create new valid booking with api.","2","createNewBookingResponseValidation","Test Smoke suites","Wed May 27 08:05:51 UTC 2026","skipped","Wed May 27 08:05:51 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"","1","afterMethodCleanUp","Test Smoke suites","Wed May 27 08:05:51 UTC 2026","broken","Wed May 27 08:05:51 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
"","1","prepareData","Test Smoke suites","Wed May 27 08:05:50 UTC 2026","broken","Wed May 27 08:05:50 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","0","setUpClass","Test Smoke suites","Wed May 27 08:05:50 UTC 2026","broken","Wed May 27 08:05:50 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"","0","afterMethodCleanUp","Test Smoke suites","Wed May 27 08:05:50 UTC 2026","broken","Wed May 27 08:05:50 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"","0","afterMethodCleanUp","Test Smoke suites","Wed May 27 08:05:51 UTC 2026","broken","Wed May 27 08:05:51 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Wed May 27 08:05:51 UTC 2026","broken","Wed May 27 08:05:51 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
