"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Search booking by id api.","0","searchBookingResponseValidation","Test Smoke suites","Sat May 02 06:08:18 UTC 2026","skipped","Sat May 02 06:08:18 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"","0","afterMethodCleanUp","Test Smoke suites","Sat May 02 06:08:17 UTC 2026","broken","Sat May 02 06:08:17 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"","0","prepareData","Test Smoke suites","Sat May 02 06:08:17 UTC 2026","broken","Sat May 02 06:08:17 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sat May 02 06:08:17 UTC 2026","broken","Sat May 02 06:08:17 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"Check that Admin is not able to authenticate with wrong password.","1","userFailedPasswordAuthResponseValidation","Test Smoke suites","Sat May 02 06:08:17 UTC 2026","skipped","Sat May 02 06:08:17 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sat May 02 06:08:18 UTC 2026","broken","Sat May 02 06:08:18 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"","0","afterMethodCleanUp","Test Smoke suites","Sat May 02 06:08:18 UTC 2026","broken","Sat May 02 06:08:18 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
"Update booking with valid date api.","1","fullUpdateBookingResponseValidation","Test Smoke suites","Sat May 02 06:08:18 UTC 2026","skipped","Sat May 02 06:08:18 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Partially update booking with valid date api.","0","partialUpdateBookingResponseValidation","Test Smoke suites","Sat May 02 06:08:18 UTC 2026","skipped","Sat May 02 06:08:18 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"","0","globalCleanupSuite","Test Smoke suites","Sat May 02 06:08:18 UTC 2026","broken","Sat May 02 06:08:18 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sat May 02 06:08:17 UTC 2026","broken","Sat May 02 06:08:17 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","0","prepareData","Test Smoke suites","Sat May 02 06:08:16 UTC 2026","broken","Sat May 02 06:08:16 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","prepareData"
"","0","prepareData","Test Smoke suites","Sat May 02 06:08:17 UTC 2026","broken","Sat May 02 06:08:17 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","0","prepareData","Test Smoke suites","Sat May 02 06:08:18 UTC 2026","broken","Sat May 02 06:08:18 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"","0","afterMethodCleanUp","Test Smoke suites","Sat May 02 06:08:18 UTC 2026","broken","Sat May 02 06:08:18 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"Create new valid booking with api.","0","createNewBookingResponseValidation","Test Smoke suites","Sat May 02 06:08:18 UTC 2026","skipped","Sat May 02 06:08:18 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"","0","afterMethodCleanUp","Test Smoke suites","Sat May 02 06:08:18 UTC 2026","broken","Sat May 02 06:08:18 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
"Check that Admin is able to authenticate.","1","userAuthResponseValidation","Test Smoke suites","Sat May 02 06:08:17 UTC 2026","skipped","Sat May 02 06:08:17 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"","0","setUpClass","Test Smoke suites","Sat May 02 06:08:17 UTC 2026","broken","Sat May 02 06:08:17 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Sat May 02 06:08:17 UTC 2026","broken","Sat May 02 06:08:17 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
"","0","prepareData","Test Smoke suites","Sat May 02 06:08:18 UTC 2026","broken","Sat May 02 06:08:18 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sat May 02 06:08:18 UTC 2026","broken","Sat May 02 06:08:18 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"","2","globalInitSuite","Test Smoke suites","Sat May 02 06:08:16 UTC 2026","broken","Sat May 02 06:08:16 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
