"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","globalCleanupSuite","Test Smoke suites","Wed Mar 25 05:24:28 UTC 2026","broken","Wed Mar 25 05:24:28 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Wed Mar 25 05:24:27 UTC 2026","broken","Wed Mar 25 05:24:27 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"Check that Admin is not able to authenticate with wrong password.","1","userFailedPasswordAuthResponseValidation","Test Smoke suites","Wed Mar 25 05:24:27 UTC 2026","skipped","Wed Mar 25 05:24:27 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"Update booking with valid date api.","3","fullUpdateBookingResponseValidation","Test Smoke suites","Wed Mar 25 05:24:28 UTC 2026","skipped","Wed Mar 25 05:24:28 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Search booking by id api.","0","searchBookingResponseValidation","Test Smoke suites","Wed Mar 25 05:24:28 UTC 2026","skipped","Wed Mar 25 05:24:28 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Wed Mar 25 05:24:28 UTC 2026","broken","Wed Mar 25 05:24:28 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"Partially update booking with valid date api.","0","partialUpdateBookingResponseValidation","Test Smoke suites","Wed Mar 25 05:24:28 UTC 2026","skipped","Wed Mar 25 05:24:28 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Wed Mar 25 05:24:27 UTC 2026","broken","Wed Mar 25 05:24:27 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"","0","setUpClass","Test Smoke suites","Wed Mar 25 05:24:28 UTC 2026","broken","Wed Mar 25 05:24:28 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"","1","afterMethodCleanUp","Test Smoke suites","Wed Mar 25 05:24:28 UTC 2026","broken","Wed Mar 25 05:24:28 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
