"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Sat Mar 07 05:01:30 UTC 2026","broken","Sat Mar 07 05:01:30 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"","0","setUpClass","Test Smoke suites","Sat Mar 07 05:01:31 UTC 2026","broken","Sat Mar 07 05:01:31 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"Update booking with valid date api.","6","fullUpdateBookingResponseValidation","Test Smoke suites","Sat Mar 07 05:01:31 UTC 2026","skipped","Sat Mar 07 05:01:31 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"","2","globalInitSuite","Test Smoke suites","Sat Mar 07 05:01:29 UTC 2026","broken","Sat Mar 07 05:01:29 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"Partially update booking with valid date api.","0","partialUpdateBookingResponseValidation","Test Smoke suites","Sat Mar 07 05:01:32 UTC 2026","skipped","Sat Mar 07 05:01:32 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"Check that Admin is able to authenticate.","0","userAuthResponseValidation","Test Smoke suites","Sat Mar 07 05:01:31 UTC 2026","skipped","Sat Mar 07 05:01:31 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sat Mar 07 05:01:30 UTC 2026","broken","Sat Mar 07 05:01:30 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","0","prepareData","Test Smoke suites","Sat Mar 07 05:01:31 UTC 2026","broken","Sat Mar 07 05:01:31 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"","1","afterMethodCleanUp","Test Smoke suites","Sat Mar 07 05:01:32 UTC 2026","broken","Sat Mar 07 05:01:32 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
"","5","afterMethodCleanUp","Test Smoke suites","Sat Mar 07 05:01:31 UTC 2026","broken","Sat Mar 07 05:01:32 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Sat Mar 07 05:01:31 UTC 2026","broken","Sat Mar 07 05:01:31 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
"","0","prepareData","Test Smoke suites","Sat Mar 07 05:01:31 UTC 2026","broken","Sat Mar 07 05:01:31 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"","0","prepareData","Test Smoke suites","Sat Mar 07 05:01:30 UTC 2026","broken","Sat Mar 07 05:01:30 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","0","globalCleanupSuite","Test Smoke suites","Sat Mar 07 05:01:32 UTC 2026","broken","Sat Mar 07 05:01:32 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
