"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Fri Mar 20 05:16:51 UTC 2026","broken","Fri Mar 20 05:16:51 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Fri Mar 20 05:16:52 UTC 2026","broken","Fri Mar 20 05:16:52 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
"Partially update booking with valid date api.","1","partialUpdateBookingResponseValidation","Test Smoke suites","Fri Mar 20 05:16:52 UTC 2026","skipped","Fri Mar 20 05:16:52 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"","0","afterMethodCleanUp","Test Smoke suites","Fri Mar 20 05:16:52 UTC 2026","broken","Fri Mar 20 05:16:52 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Fri Mar 20 05:16:51 UTC 2026","broken","Fri Mar 20 05:16:51 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"","0","afterMethodCleanUp","Test Smoke suites","Fri Mar 20 05:16:52 UTC 2026","broken","Fri Mar 20 05:16:52 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
"","2","globalInitSuite","Test Smoke suites","Fri Mar 20 05:16:50 UTC 2026","broken","Fri Mar 20 05:16:50 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"","1","setUpClass","Test Smoke suites","Fri Mar 20 05:16:52 UTC 2026","broken","Fri Mar 20 05:16:52 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"Update booking with valid date api.","3","fullUpdateBookingResponseValidation","Test Smoke suites","Fri Mar 20 05:16:52 UTC 2026","skipped","Fri Mar 20 05:16:52 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"","1","prepareData","Test Smoke suites","Fri Mar 20 05:16:50 UTC 2026","broken","Fri Mar 20 05:16:50 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
