"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","afterMethodCleanUp","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","0","afterMethodCleanUp","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"","3","globalInitSuite","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"","0","afterMethodCleanUp","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"","0","prepareData","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"","0","prepareData","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","1","afterMethodCleanUp","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"Update booking with valid date api.","10","fullUpdateBookingResponseValidation","Test Smoke suites","2026-06-14","skipped","2026-06-14","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"","1","prepareData","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","prepareData"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"","1","globalCleanupSuite","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
"Partially update booking with valid date api.","0","partialUpdateBookingResponseValidation","Test Smoke suites","2026-06-14","skipped","2026-06-14","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
"","0","prepareData","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"Check that Admin is able to authenticate.","0","userAuthResponseValidation","Test Smoke suites","2026-06-14","skipped","2026-06-14","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"","0","setUpClass","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"Check that Admin is not able to authenticate with wrong password.","0","userFailedPasswordAuthResponseValidation","Test Smoke suites","2026-06-14","skipped","2026-06-14","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"","0","prepareData","Test Smoke suites","2026-06-14","broken","2026-06-14","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"Search booking by id api.","1","searchBookingResponseValidation","Test Smoke suites","2026-06-14","skipped","2026-06-14","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"Create new valid booking with api.","0","createNewBookingResponseValidation","Test Smoke suites","2026-06-14","skipped","2026-06-14","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
