"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Thu Mar 05 05:14:23 UTC 2026","broken","Thu Mar 05 05:14:23 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
"","0","prepareData","Test Smoke suites","Thu Mar 05 05:14:23 UTC 2026","broken","Thu Mar 05 05:14:23 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Thu Mar 05 05:14:23 UTC 2026","broken","Thu Mar 05 05:14:23 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"","0","globalCleanupSuite","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","broken","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
"","0","afterMethodCleanUp","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","broken","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"Check that Admin is able to authenticate.","1","userAuthResponseValidation","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","skipped","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"","0","setUpClass","Test Smoke suites","Thu Mar 05 05:14:23 UTC 2026","broken","Thu Mar 05 05:14:23 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"Search booking by id api.","0","searchBookingResponseValidation","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","skipped","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"","1","prepareData","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","broken","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","broken","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"","2","afterMethodCleanUp","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","broken","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"","0","afterMethodCleanUp","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","broken","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
"","3","globalInitSuite","Test Smoke suites","Thu Mar 05 05:14:22 UTC 2026","broken","Thu Mar 05 05:14:22 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Thu Mar 05 05:14:22 UTC 2026","broken","Thu Mar 05 05:14:22 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"Create new valid booking with api.","0","createNewBookingResponseValidation","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","skipped","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"Check that Admin is not able to authenticate with wrong password.","0","userFailedPasswordAuthResponseValidation","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","skipped","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"Partially update booking with valid date api.","0","partialUpdateBookingResponseValidation","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","skipped","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"","0","prepareData","Test Smoke suites","Thu Mar 05 05:14:23 UTC 2026","broken","Thu Mar 05 05:14:23 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","0","prepareData","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","broken","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","broken","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"Update booking with valid date api.","0","fullUpdateBookingResponseValidation","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","skipped","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"","0","prepareData","Test Smoke suites","Thu Mar 05 05:14:22 UTC 2026","broken","Thu Mar 05 05:14:22 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","prepareData"
"","0","afterMethodCleanUp","Test Smoke suites","Thu Mar 05 05:14:24 UTC 2026","broken","Thu Mar 05 05:14:24 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
