"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sat May 23 06:34:05 UTC 2026","broken","Sat May 23 06:34:05 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"Partially update booking with valid date api.","0","partialUpdateBookingResponseValidation","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","skipped","Sat May 23 06:34:06 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"Check that Admin is not able to authenticate with wrong password.","0","userFailedPasswordAuthResponseValidation","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","skipped","Sat May 23 06:34:06 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"","0","prepareData","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","broken","Sat May 23 06:34:06 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"","0","prepareData","Test Smoke suites","Sat May 23 06:34:05 UTC 2026","broken","Sat May 23 06:34:05 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"","1","setUpClass","Test Smoke suites","Sat May 23 06:34:05 UTC 2026","broken","Sat May 23 06:34:05 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"","0","globalCleanupSuite","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","broken","Sat May 23 06:34:06 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
"Update booking with valid date api.","0","fullUpdateBookingResponseValidation","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","skipped","Sat May 23 06:34:06 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"","2","globalInitSuite","Test Smoke suites","Sat May 23 06:34:04 UTC 2026","broken","Sat May 23 06:34:04 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"","0","afterMethodCleanUp","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","broken","Sat May 23 06:34:06 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
"Search booking by id api.","1","searchBookingResponseValidation","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","skipped","Sat May 23 06:34:06 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","broken","Sat May 23 06:34:06 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","6","afterMethodCleanUp","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","broken","Sat May 23 06:34:06 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"Check that Admin is able to authenticate.","0","userAuthResponseValidation","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","skipped","Sat May 23 06:34:06 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"Create new valid booking with api.","1","createNewBookingResponseValidation","Test Smoke suites","Sat May 23 06:34:05 UTC 2026","skipped","Sat May 23 06:34:05 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"","0","prepareData","Test Smoke suites","Sat May 23 06:34:04 UTC 2026","broken","Sat May 23 06:34:04 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","prepareData"
"","0","prepareData","Test Smoke suites","Sat May 23 06:34:05 UTC 2026","broken","Sat May 23 06:34:05 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"","0","afterMethodCleanUp","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","broken","Sat May 23 06:34:06 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sat May 23 06:34:05 UTC 2026","broken","Sat May 23 06:34:05 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","broken","Sat May 23 06:34:06 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"","0","afterMethodCleanUp","Test Smoke suites","Sat May 23 06:34:05 UTC 2026","broken","Sat May 23 06:34:05 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
"","0","prepareData","Test Smoke suites","Sat May 23 06:34:06 UTC 2026","broken","Sat May 23 06:34:06 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Sat May 23 06:34:05 UTC 2026","broken","Sat May 23 06:34:05 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
