"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","prepareData","Test Smoke suites","Tue Apr 14 06:02:09 UTC 2026","broken","Tue Apr 14 06:02:09 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","0","prepareData","Test Smoke suites","Tue Apr 14 06:02:10 UTC 2026","broken","Tue Apr 14 06:02:10 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"","0","prepareData","Test Smoke suites","Tue Apr 14 06:02:08 UTC 2026","broken","Tue Apr 14 06:02:08 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","prepareData"
"","0","globalCleanupSuite","Test Smoke suites","Tue Apr 14 06:02:11 UTC 2026","broken","Tue Apr 14 06:02:11 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
"Create new valid booking with api.","1","createNewBookingResponseValidation","Test Smoke suites","Tue Apr 14 06:02:11 UTC 2026","skipped","Tue Apr 14 06:02:11 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"Search booking by id api.","0","searchBookingResponseValidation","Test Smoke suites","Tue Apr 14 06:02:11 UTC 2026","skipped","Tue Apr 14 06:02:11 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"","0","prepareData","Test Smoke suites","Tue Apr 14 06:02:11 UTC 2026","broken","Tue Apr 14 06:02:11 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Tue Apr 14 06:02:09 UTC 2026","broken","Tue Apr 14 06:02:09 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"","1","globalInitSuite","Test Smoke suites","Tue Apr 14 06:02:08 UTC 2026","broken","Tue Apr 14 06:02:08 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Tue Apr 14 06:02:11 UTC 2026","broken","Tue Apr 14 06:02:11 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Tue Apr 14 06:02:10 UTC 2026","broken","Tue Apr 14 06:02:10 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Tue Apr 14 06:02:10 UTC 2026","broken","Tue Apr 14 06:02:10 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"Partially update booking with valid date api.","0","partialUpdateBookingResponseValidation","Test Smoke suites","Tue Apr 14 06:02:11 UTC 2026","skipped","Tue Apr 14 06:02:11 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"","1","prepareData","Test Smoke suites","Tue Apr 14 06:02:10 UTC 2026","broken","Tue Apr 14 06:02:10 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"","0","setUpClass","Test Smoke suites","Tue Apr 14 06:02:09 UTC 2026","broken","Tue Apr 14 06:02:09 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
